ID,Pays,Type_Culture,Superficie_Ha,Température_Moyenne,Précipitations,Humidité_Sol,pH_Sol,Engrais_Appliqué,Irrigation,Densité_Semis,Temps_Maturation_Jours,Météo_Extrême,Coût_Production_Ha,Main_d'Oeuvre,Disponibilité_Machines,Rendement_Tonnes_Ha,Classe_Optimisation
1,Côte d'Ivoire,Cacao,11.61726442272816,31.808410085309237,623.8907549242717,46.16271389604477,5.118299780950602,91.03124504779312,152.57388383413772,16.86303788835046,81,Inondation,1417.088616429842,33,Élevée,1.194458596084612,Non Optimisé
2,Bénin,Coton,39.36077244776915,33.42099492498397,961.781883391322,26.85229584957951,6.502209692497828,43.88777728797104,455.5644497440604,44.28933255874124,179,Sécheresse,1577.5531864333825,36,Moyenne,1.963815003266596,Non Optimisé
3,Bénin,Coton,2.5668556013542982,35.779071484985,623.5360153685602,37.17007040420698,8.004458734783132,142.84134404404415,416.5849234390073,107.15736516759772,115,Vents violents,1036.3451209861828,26,Élevée,5.173997284767874,Optimisé
4,Côte d'Ivoire,Sorgho,0.6181388777435584,29.71834548366161,1142.840925622782,38.987497403465206,4.783935894375373,39.56981252299458,374.8880306192079,97.47928134259568,118,Aucune,395.2924751621975,27,Élevée,4.976446057744591,Optimisé
5,Togo,Cacao,17.902877026548264,20.72162344218189,1432.3095332043788,18.115733839808943,5.304786613832208,94.6105639905211,490.7281665088889,84.00361633191885,68,Vents violents,682.8833436131393,34,Faible,3.03580178156826,Moyennement Optimisé
6,Bénin,Maïs,23.39565308986778,25.223774951855177,236.2142501249024,29.940388411293103,6.551420288084715,4.901639861722407,13.11502954669952,111.61431031804736,146,Sécheresse,568.9223956617591,37,Élevée,4.039636555159057,Optimisé
7,Ghana,Cacao,27.54365924782572,25.61224754399081,812.1321165551708,31.32276268356001,6.969836735832491,18.06866017051634,494.1022727685222,60.29852814541499,146,Sécheresse,1803.904112202576,24,Élevée,4.619524903695432,Optimisé
8,Côte d'Ivoire,Mil,19.224093458597054,26.3687212725375,1238.79663200779,40.74460877667373,7.328575440528203,78.49770067862048,117.19465726203472,69.47236118148875,79,Aucune,1483.8964180719793,26,Moyenne,0.7603315274498283,Non Optimisé
9,Bénin,Maïs,6.875496329832792,21.844037853089347,1095.924079748971,54.48228948516222,5.23983099346551,146.0272905859768,20.831287541244137,49.672192408059615,86,Aucune,1149.9364613180908,6,Élevée,3.008079230147095,Non Optimisé
10,Mali,Sorgho,17.56718072492223,20.012677976280692,436.905839778687,40.76138556661941,6.891403563356206,134.72372022762323,224.3445817146461,95.93514034908428,86,Inondation,562.8285957515736,28,Élevée,3.137278053816464,Moyennement Optimisé
11,Bénin,Sorgho,41.180376761339126,30.39378043235547,709.8518277594812,44.18390859522573,5.873514519422335,85.5317897476628,343.1559548583832,145.7083437971201,120,Sécheresse,396.2445870225499,6,Moyenne,5.184462945481227,Optimisé
12,Burkina Faso,Mil,17.11764279971532,34.73564716300155,808.7679400817507,43.230766904510006,5.765580389293604,38.14726932341728,147.52897554737265,107.21316385859554,88,Aucune,1223.4518664770842,40,Faible,1.5806097265651466,Non Optimisé
13,Sénégal,Mil,29.819028914540485,24.602086101932976,1168.4635620772012,14.223073328785247,4.751534571811259,61.18601882341073,223.90495830397276,171.7359119756616,127,Aucune,344.69440067753067,1,Faible,1.3921947730299085,Non Optimisé
14,Nigeria,Manioc,34.203395144825365,33.876105450370915,796.8309552381379,24.988302131726208,4.995988960763748,98.79160850022342,118.41900826667646,103.37035644642592,111,Aucune,960.209671061626,41,Élevée,3.407679296344697,Moyennement Optimisé
15,Togo,Cacao,36.75562632685835,34.62242496568459,608.1804221851235,30.08785839178437,7.6958830577448385,189.71469211503543,0.6408948415437821,48.36957121607704,74,Inondation,1204.5293221161796,26,Faible,4.0428727162732025,Optimisé
16,Bénin,Sorgho,24.65535923736859,28.22480635010004,739.503692545517,32.22063654584522,6.327180831240481,128.04905357929687,447.0142213316445,107.31385813836648,66,Inondation,776.2951074998166,46,Faible,0.8843998704859513,Non Optimisé
17,Bénin,Manioc,6.722752793108738,30.50095179544237,1456.9567753519425,52.100208016125,7.496240079068791,25.51078574681407,181.10986227666453,80.624280388868,143,Aucune,1861.376098410664,34,Moyenne,3.0435791148943574,Non Optimisé
18,Ghana,Coton,45.07515732203952,26.27995461993155,260.7998245264308,36.270902299472695,7.770410253431424,160.86155277112363,73.25100509307958,103.42913743834346,132,Sécheresse,274.3573565718582,25,Moyenne,1.0999768572220314,Non Optimisé
19,Burkina Faso,Sorgho,13.385288293099244,27.504475936438112,633.9318329785308,50.7765815814846,7.673495595300428,144.223167821755,192.63810394895853,28.67039504063274,171,Vents violents,902.3715964760412,42,Faible,2.4073686777485763,Moyennement Optimisé
20,Burkina Faso,Maïs,17.278316526750107,31.78210811765031,457.3696540838689,55.32620062239143,8.424868306891264,177.69935080487636,6.995877966647301,157.56571785153403,152,Aucune,1803.9891399630687,33,Élevée,3.8829986369011262,Non Optimisé
21,Côte d'Ivoire,Riz,38.80202623850659,27.238383234676387,720.6545350808154,44.798208943207385,5.537065518515458,122.24445775072724,40.19484731566037,75.89030755204138,134,Inondation,435.8158790060137,34,Élevée,5.705864794958325,Optimisé
